level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	4	1	4	11	728	319	50	17	93	nikad
5	1	4	1	4	12	789	324	21	12	93	ne
5	1	4	1	4	13	819	318	65	18	23	obra¢a
5	1	4	1	4	14	894	318	69	23	91	paznju.
5	1	4	1	4	15	976	320	33	16	91	Zna
4	1	4	1	5	0	181	344	827	21	-1	
5	1	4	1	5	1	181	350	18	12	96	se
5	1	4	1	5	2	210	345	21	17	96	da
5	1	4	1	5	3	242	350	19	12	96	su
5	1	4	1	5	4	271	350	30	12	96	sve
5	1	4	1	5	5	311	346	19	16	93	to
5	1	4	1	5	6	341	344	117	21	47	budalastine;
5	1	4	1	5	7	470	344	50	18	53	zaSto
5	1	4	1	5	8	531	350	18	12	96	se
5	1	4	1	5	9	560	345	45	17	93	onda
5	1	4	1	5	10	616	345	81	17	92	sekirati?
5	1	4	1	5	11	705	346	36	16	92	Ona
5	1	4	1	5	12	751	350	32	12	91	zna
5	1	4	1	5	13	795	345	31	17	96	kad
5	1	4	1	5	14	837	345	21	17	92	da
5	1	4	1	5	15	870	344	44	18	0	klige
5	1	4	1	5	16	924	350	9	12	96	a
5	1	4	1	5	17	945	345	31	17	96	kad
5	1	4	1	5	18	987	345	21	17	96	da
4	1	4	1	6	0	180	369	829	23	-1	
5	1	4	1	6	1	180	369	39	18	0	vie
5	1	4	1	6	2	229	371	33	19	54	‘ua’,
5	1	4	1	6	3	273	371	19	16	95	to
5	1	4	1	6	4	300	370	19	22	94	je
5	1	4	1	6	5	328	375	30	12	96	sve
5	1	4	1	6	6	367	369	27	18	93	Sto
5	1	4	1	6	7	404	369	66	18	77	Coveku
5	1	4	1	6	8	479	370	57	17	96	treba.
5	1	4	1	6	9	547	370	35	17	96	Ako
5	1	4	1	6	10	591	370	15	17	94	bi
5	1	4	1	6	11	617	370	2	17	93	i
5	1	4	1	6	12	629	370	49	22	92	dalje
5	1	4	1	6	13	687	370	70	22	88	govorio
5	1	4	1	6	14	766	375	10	12	88	o
5	1	4	1	6	15	785	370	31	17	93	tim
5	1	4	1	6	16	826	370	98	22	92	pitanjima,
5	1	4	1	6	17	936	375	33	12	96	ona
5	1	4	1	6	18	979	370	14	17	90	bi
5	1	4	1	6	19	1004	380	5	2	90	-
4	1	4	1	7	0	181	396	828	22	-1	
5	1	4	1	7	1	181	396	52	17	92	imala
5	1	4	1	7	2	244	396	19	22	96	je
5	1	4	1	7	3	275	397	19	16	93	tu
5	1	4	1	7	4	307	396	90	22	92	nezgodnu
5	1	4	1	7	5	410	396	61	17	91	naviku
5	1	4	1	7	6	483	406	5	2	93	-
5	1	4	1	7	7	502	396	62	22	92	padala
5	1	4	1	7	8	577	401	9	12	93	u
5	1	4	1	7	9	599	401	35	12	95	san.
5	1	4	1	7	10	650	396	33	17	96	Bila
5	1	4	1	7	11	694	396	19	22	92	je
5	1	4	1	7	12	724	396	55	22	92	jedna
5	1	4	1	7	13	792	396	21	17	93	od
5	1	4	1	7	14	826	396	39	17	90	onih
5	1	4	1	7	15	879	396	33	22	93	koji
5	1	4	1	7	16	926	401	49	17	91	mogu
5	1	4	1	7	17	988	396	21	17	96	da
4	1	4	1	8	0	180	421	830	23	-1	
5	1	4	1	8	1	180	427	54	17	81	zaspe
5	1	4	1	8	2	246	427	9	12	92	u
5	1	4	1	8	3	265	422	71	17	92	svakom
5	1	4	1	8	4	346	422	83	17	92	trenutku
5	1	4	1	8	5	441	422	2	17	90	i
5	1	4	1	8	6	455	422	70	17	90	svakom
5	1	4	1	8	7	536	421	88	23	90	polozaju.
5	1	4	1	8	8	637	421	134	23	91	Razgovarajuci
5	1	4	1	8	9	783	427	8	12	92	s
5	1	4	1	8	10	801	422	53	22	91	njom,
5	1	4	1	8	11	867	427	21	12	93	on
5	1	4	1	8	12	900	422	55	17	91	shvati
5	1	4	1	8	13	967	422	43	17	96	kako
4	1	4	1	9	0	179	446	830	23	-1	
5	1	4	1	9	1	179	447	20	22	93	je
5	1	4	1	9	2	210	447	38	17	93	lako
5	1	4	1	9	3	259	447	82	22	92	prikazati
5	1	4	1	9	4	352	447	63	17	92	fasadu
5	1	4	1	9	5	426	446	84	23	74	politi¢ke
5	1	4	1	9	6	521	447	101	22	91	ispravnosti
5	1	4	1	9	7	634	452	9	12	93	a
5	1	4	1	9	8	654	447	63	22	92	pritom
5	1	4	1	9	9	728	447	65	17	92	nemati
5	1	4	1	9	10	805	447	59	22	91	pojma
5	1	4	1	9	11	875	446	27	18	75	Sta
5	1	4	1	9	12	913	447	96	22	92	ispravnost
4	1	4	1	10	0	180	472	829	23	-1	
5	1	4	1	10	1	180	472	55	18	70	znaci.
5	1	4	1	10	2	254	474	10	16	92	U
5	1	4	1	10	3	281	473	88	17	92	izvesnom
5	1	4	1	10	4	384	473	64	20	91	smislu,
5	1	4	1	10	5	467	473	68	22	91	pogledi
5	1	4	1	10	6	552	473	65	22	91	partije
5	1	4	1	10	7	633	472	121	23	43	najuspesnije
5	1	4	1	10	8	769	478	18	12	94	su
5	1	4	1	10	9	803	478	19	12	93	se
5	1	4	1	10	10	837	473	83	17	91	nametali
5	1	4	1	10	11	937	473	72	22	7	Ijudima
4	1	4	1	11	0	181	497	828	23	-1	
5	1	4	1	11	1	181	498	124	22	92	nesposobnim
5	1	4	1	11	2	318	498	21	17	96	da
5	1	4	1	11	3	353	498	15	17	93	ih
5	1	4	1	11	4	381	498	68	17	92	shvate.
5	1	4	1	11	5	465	497	70	23	91	Moguce
5	1	4	1	11	6	547	498	19	22	96	je
5	1	4	1	11	7	579	498	34	17	93	bilo
5	1	4	1	11	8	626	498	76	17	93	naterati
5	1	4	1	11	9	716	498	15	17	88	ih
5	1	4	1	11	10	744	498	22	17	92	da
5	1	4	1	11	11	780	498	79	22	92	prihvate
5	1	4	1	11	12	873	497	136	23	66	najociglednija
4	1	4	1	12	0	181	523	829	23	-1	
5	1	4	1	12	1	181	524	62	22	92	nasilja
5	1	4	1	12	2	255	524	32	17	93	nad
5	1	4	1	12	3	298	523	108	21	45	stvarnos¢cu,
5	1	4	1	12	4	419	523	51	23	93	posto
5	1	4	1	12	5	481	524	50	17	90	nikad
5	1	4	1	12	6	542	524	36	17	90	nisu
5	1	4	1	12	7	589	525	79	21	93	potpuno
5	1	4	1	12	8	678	524	73	17	91	shvatali
5	1	4	1	12	9	762	529	30	12	93	svu
5	1	4	1	12	10	802	523	75	18	89	velicinu
5	1	4	1	12	11	887	529	56	17	92	onoga
5	1	4	1	12	12	953	523	28	18	78	Sto
5	1	4	1	12	13	991	529	19	12	96	se
4	1	4	1	13	0	181	548	829	23	-1	
5	1	4	1	13	1	181	549	21	17	92	od
5	1	4	1	13	2	213	549	35	22	92	njih
5	1	4	1	13	3	257	548	50	21	92	trazi,
5	1	4	1	13	4	319	554	9	12	91	a
5	1	4	1	13	5	337	554	20	12	88	za
5	1	4	1	13	6	365	549	47	22	88	javni
5	1	4	1	13	7	422	548	46	18	92	Zivot
5	1	4	1	13	8	479	549	36	17	92	nisu
5	1	4	1	13	9	525	549	27	17	93	bili
5	1	4	1	13	10	563	549	83	22	89	dovoljno
5	1	4	1	13	11	655	549	140	17	92	zainteresovani
5	1	4	1	13	12	805	549	22	17	94	da
5	1	4	1	13	13	837	549	14	17	93	bi
5	1	4	1	13	14	863	549	81	22	93	primetili
5	1	4	1	13	15	954	548	27	18	90	Sta
5	1	4	1	13	16	991	554	19	12	96	se
4	1	4	1	14	0	181	574	829	23	-1	
5	1	4	1	14	1	181	574	70	18	59	deSava.
5	1	4	1	14	2	266	576	43	16	92	Zato
5	1	4	1	14	3	321	574	27	18	93	Sto
5	1	4	1	14	4	362	575	36	17	92	nisu
5	1	4	1	14	5	411	575	68	17	93	shvatili
5	1	4	1	14	6	493	575	22	17	93	do
5	1	4	1	14	7	528	575	53	22	93	kraja,
5	1	4	1	14	8	596	575	70	22	93	ostajali
5	1	4	1	14	9	680	580	19	12	92	su
5	1	4	1	14	10	712	575	90	17	92	normalni.
5	1	4	1	14	11	817	575	30	17	96	Oni
5	1	4	1	14	12	861	580	18	12	93	su
5	1	4	1	14	13	891	575	119	22	91	jednostavno
4	1	4	1	15	0	181	599	826	23	-1	
5	1	4	1	15	1	181	600	52	22	93	gutali
5	1	4	1	15	2	245	605	36	15	96	sve,
5	1	4	1	15	3	294	605	9	12	96	a
5	1	4	1	15	4	314	601	19	16	95	to
5	1	4	1	15	5	344	599	28	18	95	Sto
5	1	4	1	15	6	383	600	14	17	93	bi
5	1	4	1	15	7	410	600	84	22	92	progutali
5	1	4	1	15	8	507	600	36	22	96	nije
5	1	4	1	15	9	554	600	22	17	93	im
5	1	4	1	15	10	587	599	66	18	90	Skodilo
5	1	4	1	15	11	663	600	28	22	95	jer
5	1	4	1	15	12	702	600	36	22	93	nije
5	1	4	1	15	13	748	600	95	22	45	ostavijalo
5	1	4	1	15	14	854	599	45	18	50	nista
5	1	4	1	15	15	910	605	19	12	93	za
5	1	4	1	15	16	940	600	67	20	92	sobom,
4	1	4	1	16	0	181	625	652	23	-1	
5	1	4	1	16	1	181	625	31	18	82	bas
5	1	4	1	16	2	221	626	32	17	96	kao
5	1	4	1	16	3	261	625	28	18	93	Sto
5	1	4	1	16	4	297	631	41	12	90	zrno
5	1	4	1	16	5	348	626	86	17	92	kukuruza
5	1	4	1	16	6	443	626	63	22	92	prolazi
5	1	4	1	16	7	517	631	97	12	93	nesvareno
5	1	4	1	16	8	624	626	38	17	93	kroz
5	1	4	1	16	9	670	626	38	17	92	telo
5	1	4	1	16	10	717	626	54	17	93	kakve
5	1	4	1	16	11	781	626	52	22	92	ptice.
2	1	5	0	0	0	181	677	23	21	-1	
3	1	5	1	0	0	181	677	23	21	-1	
4	1	5	1	1	0	181	677	23	21	-1	
5	1	5	1	1	1	181	677	23	21	96	6.
2	1	6	0	0	0	180	714	829	52	-1	
3	1	6	1	0	0	180	714	829	52	-1	
4	1	6	1	1	0	253	714	756	26	-1	
5	1	6	1	1	1	253	718	65	22	92	Najzad
5	1	6	1	1	2	331	723	19	12	93	se
5	1	6	1	1	3	362	718	87	22	91	dogodilo.
5	1	6	1	1	4	464	717	99	18	0	Ogekivana
5	1	6	1	1	5	577	718	63	22	93	poruka
5	1	6	1	1	6	652	718	19	22	93	je
5	1	6	1	1	7	683	718	56	22	89	stigla.
5	1	6	1	1	8	754	714	55	21	92	Cinilo
5	1	6	1	1	9	822	723	27	12	96	mu
5	1	6	1	1	10	861	723	19	12	96	se
5	1	6	1	1	11	892	718	22	17	95	da
5	1	6	1	1	12	925	718	19	22	95	je
5	1	6	1	1	13	958	723	20	12	96	na
5	1	6	1	1	14	990	719	19	16	96	to
4	1	6	1	2	0	180	743	187	23	-1	
5	1	6	1	2	1	180	743	56	18	57	€ekao
5	1	6	1	2	2	245	744	51	22	93	celog
5	1	6	1	2	3	304	743	63	18	90	zivota.
2	1	7	0	0	0	181	778	828	100	-1	
3	1	7	1	0	0	181	778	828	100	-1	
4	1	7	1	1	0	254	778	755	23	-1	
5	1	7	1	1	1	254	778	35	18	11	ISao
5	1	7	1	1	2	299	779	19	22	93	je
5	1	7	1	1	3	330	779	58	22	92	dugim
5	1	7	1	1	4	400	779	93	17	91	hodnikom
5	1	7	1	1	5	505	784	9	12	93	u
5	1	7	1	1	6	526	779	121	20	92	Ministarstvo,
5	1	7	1	1	7	661	779	2	17	92	i
5	1	7	1	1	8	676	779	57	22	92	stigao
5	1	7	1	1	9	744	779	50	17	92	skoro
5	1	7	1	1	10	805	779	22	17	93	do
5	1	7	1	1	11	839	780	57	16	92	mesta
5	1	7	1	1	12	907	779	33	22	92	gde
5	1	7	1	1	13	953	784	27	12	96	mu
5	1	7	1	1	14	990	779	19	22	96	je
4	1	7	1	2	0	181	804	827	23	-1	
5	1	7	1	2	1	181	804	66	23	91	Dzulija
5	1	7	1	2	2	257	805	70	17	93	tutnula
5	1	7	1	2	3	337	805	88	22	91	ceduljicu
5	1	7	1	2	4	436	810	9	12	92	u
5	1	7	1	2	5	455	804	48	21	95	Sake,
5	1	7	1	2	6	516	805	31	17	96	kad
5	1	7	1	2	7	557	805	19	22	93	je
5	1	7	1	2	8	586	805	58	17	92	osetio
5	1	7	1	2	9	654	805	20	17	92	da
5	1	7	1	2	10	685	805	64	17	91	odmah
5	1	7	1	2	11	759	810	20	12	93	za
5	1	7	1	2	12	790	805	42	22	90	njim
5	1	7	1	2	13	843	805	27	17	96	ide
5	1	7	1	2	14	881	805	44	17	93	neko
5	1	7	1	2	15	936	805	72	22	90	krupniji
4	1	7	1	3	0	181	829	828	23	-1	
5	1	7	1	3	1	181	830	21	17	92	od
5	1	7	1	3	2	215	830	57	22	91	njega.
5	1	7	1	3	3	284	830	28	22	96	Taj
5	1	7	1	3	4	327	830	50	20	96	neko,
5	1	7	1	3	5	391	830	20	17	96	ko
5	1	7	1	3	6	422	830	32	22	96	god
5	1	7	1	3	7	465	830	19	22	96	je
5	1	7	1	3	8	496	830	32	20	96	bio,
5	1	7	1	3	9	543	830	45	17	96	malo
5	1	7	1	3	10	599	835	19	12	93	se
5	1	7	1	3	11	628	829	96	23	54	zakaSljao,
5	1	7	1	3	12	737	829	93	23	85	ocigledno
5	1	7	1	3	13	840	829	106	23	93	spremajuci
5	1	7	1	3	14	958	835	19	12	96	se
5	1	7	1	3	15	988	830	21	17	96	da
4	1	7	1	4	0	181	856	624	22	-1	
5	1	7	1	4	1	181	856	96	22	92	progovori.
5	1	7	1	4	2	288	856	70	17	93	Vinston
5	1	7	1	4	3	368	861	18	12	93	se
5	1	7	1	4	4	396	856	50	22	90	naglo
5	1	7	1	4	5	455	856	77	17	90	zaustavi
5	1	7	1	4	6	543	856	2	17	76	i
5	1	7	1	4	7	555	856	67	17	92	okrete.
5	1	7	1	4	8	634	856	64	22	92	Ugleda
5	1	7	1	4	9	708	856	97	22	88	O'Brajena.
2	1	8	0	0	0	180	892	830	123	-1	
3	1	8	1	0	0	180	892	830	123	-1	
4	1	8	1	1	0	254	892	753	22	-1	
5	1	8	1	1	1	254	892	64	22	92	Najzad
5	1	8	1	1	2	328	897	19	12	93	su
5	1	8	1	1	3	356	892	58	22	92	stajali
5	1	8	1	1	4	425	892	51	17	92	licem
5	1	8	1	1	5	475	888	15	30	92	u
5	1	8	1	1	6	505	892	38	20	93	lice;
5	1	8	1	1	7	555	892	70	17	93	Vinston
5	1	8	1	1	8	635	892	44	17	93	oseti
5	1	8	1	1	9	689	897	49	12	96	samo
5	1	8	1	1	10	746	892	55	22	93	jedan
5	1	8	1	1	11	811	892	67	22	92	impuls:
5	1	8	1	1	12	890	892	21	17	92	da
5	1	8	1	1	13	921	892	86	22	90	pobegne.
4	1	8	1	2	0	181	916	826	23	-1	
5	1	8	1	2	1	181	918	40	16	92	Srce
5	1	8	1	2	2	234	922	27	12	96	mu
5	1	8	1	2	3	273	917	19	22	93	je
5	1	8	1	2	4	304	916	74	18	92	zestoko
5	1	8	1	2	5	390	917	54	17	92	tuklo.
5	1	8	1	2	6	461	918	23	16	96	Ne
5	1	8	1	2	7	497	917	15	17	96	bi
5	1	8	1	2	8	526	917	28	17	93	bio
5	1	8	1	2	9	567	917	88	22	92	sposoban
5	1	8	1	2	10	667	917	22	17	93	da
5	1	8	1	2	11	702	917	96	22	92	progovori.
5	1	8	1	2	12	814	917	86	22	89	O'Brajen,
5	1	8	1	2	13	916	917	91	20	92	medutim,
4	1	8	1	3	0	181	941	826	23	-1	
5	1	8	1	3	1	181	941	70	23	91	produzi
5	1	8	1	3	2	265	942	45	17	92	istim
5	1	8	1	3	3	323	942	87	20	91	korakom,
5	1	8	1	3	4	424	947	20	12	93	za
5	1	8	1	3	5	456	942	83	17	92	trenutak
5	1	8	1	3	6	551	942	104	22	92	prijateljski
5	1	8	1	3	7	669	941	55	23	92	polozi
5	1	8	1	3	8	738	942	41	17	93	ruku
5	1	8	1	3	9	792	947	20	12	93	na
5	1	8	1	3	10	823	942	106	17	92	Vinstonovu
5	1	8	1	3	11	942	941	65	21	24	misicu,
4	1	8	1	4	0	180	967	830	23	-1	
5	1	8	1	4	1	180	968	42	17	93	tako
5	1	8	1	4	2	234	968	22	17	93	da
5	1	8	1	4	3	269	968	70	22	92	obojica
5	1	8	1	4	4	353	967	70	18	44	kretoSe
5	1	8	1	4	5	435	968	49	22	92	dalje
5	1	8	1	4	6	495	968	54	22	96	jedan
5	1	8	1	4	7	563	973	20	12	93	uz
5	1	8	1	4	8	595	968	70	22	92	drugog.
5	1	8	1	4	9	680	968	55	17	92	Zatim
5	1	8	1	4	10	749	968	88	22	92	progovori
5	1	8	1	4	11	851	973	8	12	91	s
5	1	8	1	4	12	870	973	52	12	91	onom
5	1	8	1	4	13	934	967	76	18	63	cudnom
4	1	8	1	5	0	181	992	723	23	-1	
5	1	8	1	5	1	181	993	95	22	90	ozbiljnom
5	1	8	1	5	2	286	992	89	18	88	uctivoscu
5	1	8	1	5	3	384	998	22	17	93	po
5	1	8	1	5	4	415	993	45	22	76	kojoj
5	1	8	1	5	5	472	998	19	12	93	se
5	1	8	1	5	6	501	993	97	17	91	razlikovao
5	1	8	1	5	7	607	993	21	17	92	od
5	1	8	1	5	8	637	992	62	18	91	vecine
5	1	8	1	5	9	707	992	73	18	42	clanova
5	1	8	1	5	10	790	992	34	18	91	Uze
5	1	8	1	5	11	834	993	70	22	92	partije.
2	1	9	0	0	0	181	1028	830	74	-1	
3	1	9	1	0	0	181	1028	830	74	-1	
4	1	9	1	1	0	253	1028	756	23	-1	
5	1	9	1	1	1	253	1029	66	17	91	"Nadao
5	1	9	1	1	2	329	1034	37	12	96	sam
5	1	9	1	1	3	376	1034	19	12	96	se
5	1	9	1	1	4	405	1029	22	17	96	da
5	1	9	1	1	5	437	1028	21	18	30	Cu
5	1	9	1	1	6	469	1029	47	17	92	imati
5	1	9	1	1	7	529	1029	59	22	92	prilike
5	1	9	1	1	8	599	1029	21	17	92	da
5	1	9	1	1	9	631	1034	136	17	90	porazgovaram
5	1	9	1	1	10	777	1034	8	12	93	s
5	1	9	1	1	11	794	1030	63	19	92	vama",
5	1	9	1	1	12	871	1028	40	18	96	rece
5	1	9	1	1	13	921	1034	27	12	93	on.
5	1	9	1	1	14	962	1029	47	17	91	"Neki
4	1	9	1	2	0	181	1054	830	23	-1	
5	1	9	1	2	1	181	1055	33	17	96	dan
5	1	9	1	2	2	226	1060	37	12	93	sam
5	1	9	1	2	3	274	1054	47	18	18	citao
5	1	9	1	2	4	334	1060	9	12	92	u
5	1	9	1	2	5	354	1055	70	22	92	Tajmsu
5	1	9	1	2	6	435	1055	54	22	96	jedan
5	1	9	1	2	7	501	1054	30	18	76	vas
5	1	9	1	2	8	542	1054	62	18	33	¢lanak
5	1	9	1	2	9	616	1060	9	12	92	u
5	1	9	1	2	10	637	1056	117	21	91	Novogovoru.
5	1	9	1	2	11	768	1056	33	16	93	Vas
5	1	9	1	2	12	812	1056	100	21	92	Novogovor
5	1	9	1	2	13	923	1055	68	17	92	zanima
5	1	9	1	2	14	1003	1060	8	12	90	s
4	1	9	1	3	0	181	1079	305	23	-1	
5	1	9	1	3	1	181	1079	68	18	79	naucne
5	1	9	1	3	2	258	1079	52	18	93	tacke
5	1	9	1	3	3	319	1079	81	23	76	gledista,
5	1	9	1	3	4	411	1085	29	12	92	zar
5	1	9	1	3	5	449	1081	37	16	95	ne?"
2	1	10	0	0	0	181	1115	827	74	-1	
3	1	10	1	0	0	181	1115	827	74	-1	
4	1	10	1	1	0	252	1115	756	23	-1	
5	1	10	1	1	1	252	1116	71	17	92	Vinston
5	1	10	1	1	2	333	1115	42	18	78	bese
5	1	10	1	1	3	385	1116	79	22	92	povratio
5	1	10	1	1	4	474	1115	50	18	92	nesto
5	1	10	1	1	5	534	1116	91	17	93	kontorole
5	1	10	1	1	6	634	1116	33	17	93	nad
5	1	10	1	1	7	676	1116	66	17	91	sobom.
5	1	10	1	1	8	754	1115	62	18	56	"Tesko
5	1	10	1	1	9	824	1116	22	17	96	da
5	1	10	1	1	10	856	1116	14	17	96	bi
5	1	10	1	1	11	880	1121	19	12	93	se
5	1	10	1	1	12	909	1116	56	22	92	moglo
5	1	10	1	1	13	975	1115	33	18	90	reci
4	1	10	1	2	0	181	1140	826	23	-1	
5	1	10	1	2	1	181	1141	21	17	95	da
5	1	10	1	2	2	211	1141	19	22	79	je
5	1	10	1	2	3	239	1146	8	12	79	s
5	1	10	1	2	4	256	1140	68	18	67	naucne
5	1	10	1	2	5	333	1140	52	18	90	tacke
5	1	10	1	2	6	395	1140	87	23	91	gledista",
5	1	10	1	2	7	495	1140	41	18	96	rece
5	1	10	1	2	8	545	1146	28	12	96	on.
5	1	10	1	2	9	585	1142	26	20	95	"Ja
5	1	10	1	2	10	620	1146	38	12	95	sam
5	1	10	1	2	11	666	1146	49	12	93	samo
5	1	10	1	2	12	724	1142	74	16	92	amater.
5	1	10	1	2	13	809	1142	24	16	96	To
5	1	10	1	2	14	843	1141	36	22	96	nije
5	1	10	1	2	15	888	1141	47	22	93	moja
5	1	10	1	2	16	945	1141	62	22	92	oglast;
4	1	10	1	3	0	181	1167	522	22	-1	
5	1	10	1	3	1	181	1167	54	17	92	nisam
5	1	10	1	3	2	245	1167	50	17	92	nikad
5	1	10	1	3	3	305	1167	45	17	91	imao
5	1	10	1	3	4	359	1167	48	22	91	posla
5	1	10	1	3	5	416	1172	18	12	93	sa
5	1	10	1	3	6	444	1167	61	17	92	samim
5	1	10	1	3	7	502	1163	113	30	88	stvaranjem
5	1	10	1	3	8	627	1163	76	30	88	jezika."
2	1	11	0	0	0	181	1201	828	75	-1	
3	1	11	1	0	0	181	1201	828	75	-1	
4	1	11	1	1	0	253	1201	756	23	-1	
5	1	11	1	1	1	253	1202	29	17	93	"Ali
5	1	11	1	1	2	292	1207	19	12	93	se
5	1	11	1	1	3	321	1202	53	22	92	njime
5	1	11	1	1	4	384	1202	66	17	92	izvrsno
5	1	11	1	1	5	459	1201	76	21	89	sluzite",
5	1	11	1	1	6	547	1201	41	18	87	rece
5	1	11	1	1	7	597	1202	86	22	87	O'Brajen.
